date,flow_in_ntv,flow_out_ntv,flow_in_usd,flow_out_usd,supply_ex,active_addr
2026-02-18,18010.73061342,25837.7734465,1195565031.0053563,1715129667.6802833,2669582.63858123,595919.0
2026-02-19,21823.79186457,18946.91091511,1460717723.6778202,1268161314.6969604,2672459.51953069,616639.0
2026-02-20,36143.3733202,31825.44782413,2456929265.932073,2163408309.1186833,2676777.44502676,662947.0
2026-02-21,8593.84127314,9900.05459008,584558822.0331796,673408324.0900767,2675471.23170982,579813.0
2026-02-22,9589.10922553,10188.99156776,647744559.0601497,688266625.7210667,2674871.34936759,525709.0
2026-02-23,23183.10558866,22373.3602085,1499713068.086111,1447330710.4332898,2675681.09474775,684644.0
2026-02-24,28770.79182204,28493.26599924,1844891093.114156,1827095096.3352048,2675958.62057055,661423.0
2026-02-25,22070.15743035,27013.00446682,1501620895.8283186,1837924903.5486987,2671015.77353408,650235.0
2026-02-26,25247.19049669,29657.99507582,1704671733.7656896,2002486014.9306748,2666604.96895495,693519.0
2026-02-27,21697.25434569,19930.64797965,1429070907.0819538,1312714905.4538016,2668371.57532099,704075.0
2026-02-28,11284.69483967,12251.53274961,755686759.2086804,820431674.0888083,2667404.73741105,640533.0
2026-03-01,11583.96510488,12061.08512603,761454816.4942904,792817595.5480251,2666927.86628731,602506.0
2026-03-02,24671.12972749,29666.21512043,1700399005.2023537,2044673399.073822,2661932.78089437,690831.0
2026-03-03,27897.28391897,30646.11203924,1909043890.8424327,2097149426.3210664,2659183.9527741,652464.0
2026-03-04,32261.55811666,64315.73670454,2344365582.6219964,4673661420.997476,2627129.77418622,697294.0
2026-03-05,29271.14858514,33404.9475086,2077883528.5602832,2371331278.6017146,2622995.97526276,686708.0
2026-03-06,23539.71998998,24878.50507324,1606037540.7842593,1697378436.2440515,2621657.1901795,672019.0
2026-03-07,15451.59289785,15335.18799582,1040132519.3130964,1032296658.971105,2621773.59508153,592224.0
2026-03-08,7988.32235266,6868.02905474,528848491.2266693,454682052.4951303,2622893.88837945,523172.0
2026-03-09,25624.17497274,27071.56247415,1755987260.3788798,1855174610.4501085,2621446.50087804,627803.0
2026-03-10,28491.36987933,32884.61095352,1991313805.0703013,2298365436.391938,2617054.74983364,649875.0
2026-03-11,25979.87233464,32584.18154728,1826348012.9782672,2290621541.817618,2610450.440621,629140.0
2026-03-12,18561.02295982,26241.61833351,1309259432.1500509,1851034093.993861,2602769.84524731,640192.0
2026-03-13,24931.00548382,25594.14356745,1768356550.035369,1815392943.1133,2602106.70716368,676568.0
2026-03-14,8160.69161934,6138.62053153,580520737.4107158,436678247.858674,2604128.77825149,557544.0
2026-03-15,9691.07854105,12389.9234229,704659119.6717293,900897923.2805712,2601429.93336964,534462.0
2026-03-16,30962.96596613,28075.37532192,2313675354.5828667,2097903153.8530998,2604317.52401385,701802.0
2026-03-17,21335.63674494,21402.0201006,1580672274.2547867,1585590352.4456632,2604251.14065819,679525.0
2026-03-18,24800.86219694,28158.84038249,1767159591.5471776,2006428827.9019132,2600893.16247264,625137.0
2026-03-19,19289.53712415,21124.60968649,1349281996.448448,1477643312.4616747,2610206.3658926,603884.0
2026-03-20,20215.92391362,20640.31707577,1425433279.3626218,1455357419.3350215,2610072.59809778,656663.0
2026-03-21,6842.97306032,6528.272467,477005073.42503893,455068149.4739617,2610551.94675265,586709.0
2026-03-22,9619.222479,18903.97688445,654281750.9501797,1285813601.138944,2601588.31380216,545348.0
2026-03-23,20398.60614827,17005.533436,1442716123.4902816,1202736946.747267,2605306.21244676,640101.0
2026-03-24,21899.51101182,19750.68057783,1546324882.3316898,1394595925.1784043,2607977.76940956,587472.0
2026-03-25,26184.82908347,34280.53853567,1866488589.0619228,2443561262.1247787,2601918.76840528,657017.0
2026-03-26,22088.5495389,18873.20822226,1517990767.874167,1297022957.1255145,2605385.36063734,623105.0
